,Unnamed: 0,pdb,Lchain,Hchain,antigen_chain
187,187,6t3j,C,D,E
289,289,6lhq,L,H,A
394,394,4irz,L,H,A
355,355,1uj3,B,A,C
17,17,8slb,L,H,A
250,250,6kz0,I,H,G
443,443,7kyo,L,H,B
244,244,4nnp,L,H,A
92,92,4hc1,N,M,B
66,66,8cz5,L,H,A
201,201,7lbe,G,H,A
496,496,5vgj,L,H,G
536,536,6ko5,L,H,A
40,40,8df1,N,M,B
434,434,6wdt,L,H,A
405,405,5k59,F,E,B
233,233,5w3e,G,E,B
462,462,6mtt,L,H,P
16,16,8ejj,L,H,c
531,531,3tt3,L,H,A
162,162,5c8j,B,A,I
335,335,4zfo,L,H,K
307,307,6cnj,F,G,C
102,102,6xp6,G,H,A
465,465,3v4p,L,H,B
232,232,7bsd,L,H,I
399,399,6xcj,L,H,G
128,128,6svl,O,P,R
283,283,7ce2,B,Z,A
237,237,7q6c,L,H,A
110,110,7vux,L,H,A
412,412,5d8j,L,H,A
270,270,5grj,L,H,A
445,445,6al5,L,H,A
314,314,7s13,I,M,C
142,142,5dwu,L,H,A
521,521,7daa,L,H,A
6,6,8dul,L,H,A
11,11,7y1b,L,H,A
255,255,4rdq,F,G,E
284,284,5ukr,L,H,G
221,221,6m58,C,D,B
58,58,7r58,L,H,A
523,523,6u6u,L,H,R
518,518,6gv4,L,H,B
179,179,4yue,L,H,C
213,213,1bgx,L,H,T
507,507,6gku,L,H,A
101,101,2vwe,C,E,A
426,426,5i9q,C,B,A
501,501,7n3c,L,H,C
173,173,1fj1,B,A,F
366,366,1tzi,B,A,V
18,18,7quh,L,H,A
186,186,5o1r,L,H,A
121,121,5u8q,L,H,A
385,385,3o6l,L,H,C
428,428,3s35,L,H,X
344,344,5ob5,L,H,A
551,551,2xwt,B,A,C
225,225,2aep,L,H,A
80,80,7u9g,G,D,B
46,46,8db4,B,A,E
438,438,6tyb,L,H,G
300,300,5t1d,L,H,B
93,93,3hi6,L,H,A
458,458,6qig,L,H,A
81,81,7ura,L,H,A
245,245,5vyf,B,A,C
493,493,5te7,L,H,G
189,189,5hbt,C,D,B
115,115,4uao,C,B,A
370,370,5th9,J,N,C
363,363,1fsk,I,H,G
236,236,6umx,L,H,A
446,446,5e8e,B,A,H
311,311,7d3k,L,H,2
139,139,6kyz,C,B,A
106,106,6rlo,C,D,J
364,364,1dee,F,E,H
395,395,6u9s,B,A,C
88,88,7dc8,B,A,C
185,185,5o6v,L,H,B
345,345,6cyf,F,E,B
432,432,7joo,L,H,C
433,433,2bdn,L,H,A
95,95,4cad,D,E,F
122,122,6ye3,D,E,F
382,382,2zjs,L,H,Y
214,214,4leo,B,A,C
23,23,7yru,L,H,A
164,164,4mhh,L,H,E
13,13,8esv,L,H,A
411,411,1yy9,C,D,A
61,61,7wg3,A,E,I
408,408,5u3m,L,H,A
420,420,7k9j,L,H,A
39,39,8ath,F,E,B
427,427,6dkj,L,H,C
70,70,7sjn,D,E,B
415,415,3lev,L,H,A
318,318,5d1z,C,D,I
98,98,6s3t,N,M,A
543,543,1oaz,L,H,A
510,510,5t33,L,H,G
417,417,4ybq,C,D,B
447,447,5j13,C,B,A
514,514,5mhs,D,E,B
305,305,7lfa,L,H,C
308,308,5mo9,L,H,X
127,127,5fb8,B,A,C
82,82,7fbi,L,H,A
1,1,8tco,D,E,B
241,241,3hmx,L,H,A
27,27,7ur6,L,H,B
89,89,6mto,L,H,T
460,460,5nmv,L,H,K
73,73,7ucg,D,E,G
197,197,3u9u,B,A,F
379,379,3ubx,L,H,A
247,247,6cse,L,H,M
171,171,2jix,L,H,E
161,161,5bv7,C,B,A
528,528,5w42,L,H,A
69,69,7srs,Q,P,R
274,274,6xxv,B,A,C
91,91,6z7w,C,D,K
38,38,7zmk,C,B,D
258,258,4qww,C,D,B
246,246,5kn5,D,E,F
449,449,7eo0,L,H,3
125,125,6rcu,D,E,A
291,291,3ld8,C,B,A
537,537,3s88,L,H,J
376,376,6j6y,C,B,A
204,204,3t2n,L,H,A
541,541,4zfg,L,H,A
59,59,7s1b,L,H,A
120,120,4n8c,L,H,X
12,12,8da0,B,A,E
457,457,5l6y,L,H,C
436,436,5eu7,F,D,B
368,368,7kdd,D,E,A
312,312,6woq,C,D,F
553,553,2zch,L,H,P
326,326,7so5,L,H,A
238,238,7dkj,C,D,A
538,538,3mj9,L,H,A
464,464,6s5a,L,H,D
482,482,5w5x,L,H,A
286,286,4zso,C,D,F
14,14,8cxc,L,H,M
522,522,1kcr,L,H,P
407,407,6rps,N,M,B
208,208,5vob,L,H,D
131,131,4mwf,B,A,D
174,174,3vrl,L,H,C
491,491,5zs0,B,A,C
191,191,6cw2,B,A,D
123,123,1ezv,X,Y,E
138,138,6edu,L,M,D
51,51,7ox4,B,A,C
485,485,3v7a,H,E,A
112,112,7lex,P,R,J
499,499,6ad0,L,H,A
323,323,1jrh,L,H,I
272,272,7rt9,C,D,Z
256,256,7mlh,C,A,F
414,414,6qd7,X,Z,F
105,105,1sy6,L,H,A
545,545,1tqb,C,B,A
413,413,2nr6,F,E,B
441,441,4r4h,L,H,A
230,230,4jzj,L,H,C
502,502,6nyq,L,H,C
435,435,4ywg,I,M,Q
512,512,3grw,L,H,A
150,150,5dyo,L,H,A
476,476,6yio,L,H,B
163,163,7kyl,X,Y,Z
167,167,4o02,L,H,A
295,295,6vx4,K,H,F
206,206,6oe4,F,E,D
188,188,6vn1,J,N,C
145,145,4ij3,C,B,A
324,324,7tpg,L,H,B
506,506,4k24,L,H,U
505,505,1rjl,B,A,C
410,410,6ukj,L,H,A
430,430,3w9e,B,A,C
298,298,4d3c,L,H,A
480,480,5ikc,B,A,M
358,358,5u3l,L,H,P
334,334,6ztr,L,H,I
388,388,4i3r,L,H,G
175,175,3nh7,K,O,D
488,488,1ynt,C,D,G
425,425,6lyn,B,A,C
229,229,5ldn,L,H,A
342,342,6ddr,B,A,C
280,280,7rd5,B,A,F
350,350,7sfv,N,M,B
228,228,5i6x,C,B,A
100,100,6v4n,C,G,M
290,290,6h3u,I,M,A
477,477,4fqj,L,H,A
53,53,7u5b,B,A,J
227,227,7sn3,F,G,B
534,534,7f9w,C,B,A
552,552,2yc1,B,A,C
154,154,5f3h,F,E,L
251,251,6cwt,C,D,F
275,275,6mlm,I,E,A
158,158,3jcx,L,H,A
271,271,5wk3,W,V,D
44,44,8hhy,L,H,A
544,544,1ors,B,A,C
113,113,7jkt,L,H,G
